nama|kota
Apotek Mulya Medika|SUKABUMI
Apotek Suropati 20|MALANG
Apotek Kimia Farma 327|BANDAR LAMPUNG
Apotek Dewi Sangsit|BULELENG
Apotek Restu Ibu|LANGKAT
Apotek Sinjai Putra I|BALIKPAPAN
Apotek Junrejo|BATU
Apotek Century Belmont Residence|JAKARTA BARAT
Apotek Clara Farma|JAKARTA PUSAT
Apotek Cipanas|CIANJUR
Apotek Asta Nugraha|JAKARTA TIMUR
Apotek Abadi Farma|BATU BARA
Apotek Catur Warga Ii|MATARAM
Apotek Bsm Umat|JAKARTA TIMUR
Apotek Sumber Rezeki Farma|PEKANBARU
Apotek Kimia Farma Rscm|JAKARTA PUSAT
Apotek Bregas Ciangsana|BOGOR
Apotek Nusa Bhakti|BADUNG
Apotek Eka Lugina 2|SUMEDANG
Apotek Citra Sehat Farma|BEKASI
Apotek Cendrawasih Pusat|JAKARTA BARAT
Apotek Century Cibubur Square|JAKARTA TIMUR
Apotek Ask Jaya|SAMARINDA
Apotek Az Zahra Farma|LAMPUNG SELATAN
Apotek S.S|JAKARTA BARAT
Apotek Setia Farma|BINJAI
Apotek Ibnu Saad|BANDUNG
Apotek Mulia Indo Farma|MAKASSAR
Apotek Century Maple Park|JAKARTA UTARA
Apotek Ating Iv|BANDUNG
Apotek Pundong Farma|BANTUL
Apotek Sulthon|GARUT
Apotek Sinar Adil|JAKARTA BARAT
Apotek C'07|BANDUNG
Apotek Puri Sehat Ananda|JAMBI
Apotek Sari Utama|KEDIRI
Apotek Avicena Pagimana|BANGGAI
Apotek Yang|MEDAN
Apotek Wartiwah|JAKARTA BARAT
Apotek Senang|JAKARTA BARAT
Apotek Ksm Farma|JAKARTA BARAT
Apotek Century Sudirman Lampung|BANDAR LAMPUNG
Apotek Semesta Group Ambulu|JEMBER
Apotek Century Poris Paradise|TANGERANG
Apotek Taman Get'S|SIDOARJO
Apotek Extra Fit Farma|JOMBANG
Apotek Nok Sri|TEGAL
Apotek Century Kota Wisata 3|BOGOR
Apotek Brantas|KARANGANYAR
Apotek Guardian Mall Bale Kota|TANGERANG
Apotek Syamil Medika|PURWAKARTA
Apotek Hijau|BALIKPAPAN
Apotek Ideal|PALEMBANG
Apotek Pulau Indah|BIREUEN
Apotek Komala|PALEMBANG
Apotek Palur Sehat|KARANGANYAR
Apotek Fairuz Farma|BOGOR
Apotek Rama Cyntia|DENPASAR
Apotek Century Teras Kota|TANGERANG SELATAN
Apotek Century Citra Grand Cibubur|BEKASI
Apotek Tobaji|LUWU TIMUR
Apotek Generik Margasatwa Raya|JAKARTA SELATAN
Apotek Merpati|MEDAN
Apotek Ubeta|TANGERANG
Apotek Sari Mulia 2|HULU SUNGAI UTARA
Apotek Wahyu Estetika Lestari|MAKASSAR
Apotek Century Bintara|BEKASI
Apotek Nasruhan 2|PONOROGO
Apotek Century Pharma Palem Lestari|JAKARTA BARAT
Apotek Dermato|BANDUNG
Apotek K24 Gondomanan|YOGYAKARTA
Apotek Raya Gandul|DEPOK
Apotek Century Daan Mogot|JAKARTA BARAT
Apotek Sindu Farma|GROBOGAN
Apotek Kanwa|SURABAYA
Apotek Apotik Rakyat Amanah Farma|SERAM BAGIAN TIMUR
Apotek Aqina Farma|BLITAR
Apotek K24 Kudhori|KULON PROGO
Apotek Tanjung Raya|BANDAR LAMPUNG
Apotek Permata Sarijadi|BANDUNG
Apotek Assyfa Sehat|BANDUNG
Apotek Farras Medika|KLATEN
Apotek Kapas Krampung|SURABAYA
Apotek Widodo Farma|MALANG
Apotek Doua Husada|LHOKSEUMAWE
Apotek K 24 Garuda Kemayoran|JAKARTA PUSAT
Apotek Heru Farma|KAMPAR
Apotek Harapan Kita L 24|JEPARA
Apotek Wangon|BANYUMAS
Apotek K 24 Jend Sudirman|BANTUL
Apotek Karangnangka|BANYUMAS
Apotek Guardian Giant Spm Kalimalang|JAKARTA TIMUR
Apotek Binuang Farma|TAPIN
Apotek Margi|PAMEKASAN
Apotek Nofia Farma|PEKALONGAN
Apotek Generik Perapatan Kencur|JAKARTA TIMUR
Apotek Malik Farma|KARAWANG
Apotek Katarina|JAKARTA TIMUR
Apotek Rakyat Syukur Ii|TUAL
Apotek Samsere|HUMBANG HASUNDUTAN
Apotek Asri Farma|LAMPUNG SELATAN
Apotek Marannu|POLEWALI MANDAR
Apotek Trinanda|JAKARTA BARAT
Apotek Safira Farma|PURBALINGGA
Apotek Cengkareng Indah Farma|JAKARTA BARAT
Apotek Sehat Sempurna|NGANJUK
Apotek Jagung Suprapto|GRESIK
Apotek Hibrida Farma|JAKARTA UTARA
Apotek Blunyah Farma|SLEMAN
Apotek Ombi Farma|AMBON
Apotek Mitrasana Seroja|BEKASI
Apotek Miya Farma|GRESIK
Apotek Bhakti Husada|LAHAT
Apotek Alfa Medica|DEMAK
Apotek Darma Medika|TANGERANG
Apotek Sindhu Farma|KARANGANYAR
Apotek Serambi|BEKASI
Apotek Defariz|SIDOARJO
Apotek Babakan Tarogong|BANDUNG
Apotek Arroz Farma 24|PRINGSEWU
Apotek Guardian Summarecon Mall Bekasi|BEKASI
Apotek Paradigma|BOJONEGORO
Apotek Insani Ii|BOGOR
Apotek Surya Bio Medika|SURABAYA
Apotek Mensa Prima|TANGERANG SELATAN
Apotek Rakyat Sejahtera|BEKASI
Apotek Kimia Farma 380|BANDUNG
Apotek Khanza Farma|BANJAR
Apotek Talisa|TULUNGAGUNG
Apotek Malimbu|MALANG
Apotek Canna|TASIKMALAYA
Apotek Putra Asih|DENPASAR
Apotek Moyo|SORONG
Apotek Sumber Sehat Sejahtera 2|JAKARTA PUSAT
Apotek Balqis Farma|KEDIRI
Apotek Eromoko Farma|WONOGIRI
Apotek Sumbang|BANYUMAS
Apotek Mulyo Putra|TEGAL
Apotek Alam Medika|JAKARTA TIMUR
Apotek Keluarga Sehat Mandiri|BANDUNG
Apotek Century Farma Grand Polonia|MEDAN
Apotek Generik 25 Rasuna Said 7|TANGERANG
Apotek Musi Rawas|LUBUKLINGGAU
Apotek Dio Farma|BOGOR
Apotek Banera Farma|MANGGARAI TIMUR
Apotek Shayna Farma|PALEMBANG
Apotek Welas Asih Medika|SURABAYA
Apotek Bs Medika|BOGOR
Apotek Jamas|MALANG
Apotek Apotik Meriba|LANDAK
Apotek Asy Syfa|KOTAWARINGIN BARAT
Apotek Ade Jaya Farma|TUBAN
Apotek Raudhoh|JAMBI
Apotek Kakoukai Clinic Senayan|JAKARTA PUSAT
Apotek Paus Medika Sigunggung|PEKANBARU
Apotek Makmur Medika Farma|PONOROGO
Apotek Griya|JAKARTA UTARA
Apotek Pringsewu|PRINGSEWU
Apotek Century Mediterania Boulevard Residences|JAKARTA PUSAT
Apotek Hasanah|PEKANBARU
Apotek Sinar Bahari|JAYAPURA
Apotek Mufarrij|LUMAJANG
Apotek SQ 24|TANGERANG SELATAN
Apotek Wb. Sehat Pharmacy|JAKARTA SELATAN
Apotek Anik Farma|TULUNGAGUNG
Apotek Century East Coast|SURABAYA
Apotek Bintang Fajar Farma|BENGKULU
Apotek Dia Farma|KEDIRI
Apotek Amanah Gondanglegi|NGANJUK
Apotek Zairin|BARITO KUALA
Apotek Rivan Farma|SINJAI
Apotek Pelengkap Rs.Tengku Fakinah|BANDA ACEH
Apotek Manggung Jaya|KARAWANG
Apotek Indri|DELI SERDANG
Apotek A.M|JAKARTA BARAT
Apotek Farmaco|JAKARTA PUSAT
Apotek Dwi Retno|SURABAYA
Apotek Afiat 1|BREBES
Apotek Telemedika Farma 4|SURABAYA
Apotek W A N G I|SURABAYA
Apotek Kimia Farma No10|BANDUNG
Apotek Kimia Farma Pare 2|KEDIRI
Apotek Panca|PALEMBANG
Apotek 3   D|SURABAYA
Apotek Isna Farma|SUKOHARJO
Apotek Henny Farma|DELI SERDANG
Apotek Kaling|KARANGANYAR
Apotek Timur Jauh|JAKARTA BARAT
Apotek Janu Putro|SLEMAN
Apotek Rejomulyo|KEDIRI
Apotek Iin Farma|SUBANG
Apotek Nayla|INDRAGIRI HULU
Apotek Taruma (Ar)|JAKARTA BARAT
Apotek Bali Wahyu Abadi|AMBON
Apotek Sorowako Farma|LUWU TIMUR
Apotek Sambas|TEMANGGUNG
Apotek Andalas Farma|BANJARMASIN
Apotek Wijaya Medical|LEBAK
Apotek Rama|LANGKAT
Apotek Sinar Antasari|BANDAR LAMPUNG
Apotek Onkologi Kotabaru|YOGYAKARTA
Apotek Melia|PROBOLINGGO
Apotek Al Afiyat Farma|MAMUJU
Apotek 18|NGAWI
Apotek Kardinah|DUMAI
Apotek Super Saver Poinsquare|JAKARTA SELATAN
Apotek Cahaya Mutiara|PONOROGO
Apotek Mariz|DEPOK
Apotek Sofa Marwa|BANDUNG
Apotek Sayang 1|SURABAYA
Apotek Kimia Farma Pakerisan|DENPASAR
Apotek 89 (Delapan Sembilan)|BANYUWANGI
Apotek Bintara Husada|PATI
Apotek Kimia Farma 224|BATAM
Apotek Raja Medika|SUMEDANG
Apotek Masyitha Farma|POLEWALI MANDAR
Apotek Umi|JAKARTA SELATAN
Apotek Smart Skin Care|JAKARTA SELATAN
Apotek Bawen Farma|SEMARANG
Apotek Dwi Medika Farma|SLEMAN
Apotek Wonder|JAKARTA SELATAN
Apotek Daerah I|PURWOREJO
Apotek Sampung|MAGETAN
Apotek Budi Kemuliaan|DUMAI
Apotek Sumber Wangi|SUKABUMI
Apotek Ardiana Farma|PURWOREJO
Apotek Gatsu Farma I|ENDE
Apotek Century A. Yani Megamall|PONTIANAK
Apotek Sumber sehat|BIREUEN
Apotek Gremet|SURAKARTA
Apotek Ganep|JOMBANG
Apotek Century Pharma Alam Sutera|TANGERANG SELATAN
Apotek Aushaf Farma|KENDARI
Apotek Crawe Rame|MALANG
Apotek Kimia Farma No.124 Sedati|SIDOARJO
Apotek Mengger|PANDEGLANG
Apotek Zamrud|BEKASI
Apotek Generik Hankam 2|BEKASI
Apotek Omnia Farma|BANYUMAS
Apotek Fita Farma|SUMEDANG
Apotek Eva Mulia|JAKARTA BARAT
Apotek Mojolaban|SUKOHARJO
Apotek Roban|SINGKAWANG
Apotek Anugrah Kasih Farma|MAKASSAR
Apotek Guardian Farma Ts|JAKARTA BARAT
Apotek Alladin Farma|BANYUMAS
Apotek Ungu Farma|CIREBON
Apotek Kokarlin|BANDA ACEH
Apotek Generik Pondok Kacang Timur|TANGERANG SELATAN
Apotek Manjur Prima|JAKARTA BARAT
Apotek Pt. Kai Daop 9|JEMBER
Apotek Ross|PEKANBARU
Apotek Dhillon|DELI SERDANG
Apotek Wardah|BANGKALAN
Apotek Happy Farma|BANJARNEGARA
Apotek Karadenta Apothecary|SAMARINDA
Apotek Cahaya Aisyah|LABUHANBATU
Apotek Eucharistia|MALANG
Apotek Segar Farma|PALEMBANG
Apotek Kf Cipinang Jaya|JAKARTA TIMUR
Apotek Sri Asyifa Farma|SAMPANG
Apotek Kradenan|GROBOGAN
Apotek Idea Laksana|SUBANG
Apotek Dauh|TABANAN
Apotek Gracia Medika|BANDUNG BARAT
Apotek Abyan|KARAWANG
Apotek Diamond|JAKARTA BARAT
Apotek Trijaya|MUARA ENIM
Apotek Sikka Farma|SIKKA
Apotek El Farma|INDRAMAYU
Apotek Adwiya Farma|PURBALINGGA
Apotek Tujuh|SOLOK
Apotek Kimia Farma Blimbing|MALANG
Apotek Bima|PARIAMAN
Apotek Jenie Farma|KUPANG
Apotek Generik Bukit Pamulang Indah|TANGERANG SELATAN
Apotek Century Lubang Buaya|JAKARTA TIMUR
Apotek Sukaraya Farma|BEKASI
Apotek Al   Fitra|MUARA ENIM
Apotek Puri Husada|SURABAYA
Apotek Setia Bhakti|BLITAR
Apotek Mitra Santosa|SUBANG
Apotek Japisfi|BANTUL
Apotek Ananda Sehat|TULUNGAGUNG
Apotek Century Btm|BOGOR
Apotek Wasilah|BANDUNG
Apotek Rakyat Valentine|HALMAHERA UTARA
Apotek Musytal|HALMAHERA TENGAH
Apotek Stevia Estetika|BEKASI
Apotek Generik Pangadegan Timur Yara|JAKARTA SELATAN
Apotek Az Zahro|BOJONEGORO
Apotek Siaga II|SLEMAN
Apotek Siaga Jaya|GARUT
Apotek Catur Asa|JEMBER
Apotek Cahaya Medical Service|BADUNG
Apotek K 24 Pulo Ribung|BEKASI
Apotek Formula|PEKANBARU
Apotek Berkat Anugrah|MAKASSAR
Apotek Al Fath 21|BOGOR
Apotek Dunia Bintang Ii|BANDUNG
Apotek Adika|JAKARTA TIMUR
Apotek Olodensia|KLUNGKUNG
Apotek Rinoshya Farma|BATAM
Apotek Nabila Farma|KAMPAR
Apotekmart Cimone|TANGERANG
Apotek Lika|SINGKAWANG
Apotek Sultan Farma|ACEH TIMUR
Apotek Arif|BANYUMAS
Apotek Fira|INDRAMAYU
Apotek Jokotole|PAMEKASAN
Apotek Pradani|GRESIK
Apotek Mejasem Farma|TEGAL
Apotek Ina Farma|KUNINGAN
Apotek Wipa|YOGYAKARTA
Apotek Ngadi Farma|KEDIRI
Apotek Nona|PEKALONGAN
Apotek Siaga Mustika Rahayu|SURABAYA
Apotek Koronka Medika|JAKARTA TIMUR
Apotek Varia Medika|PALEMBANG
Apotek Baris|TEGAL
Apotek Arsy|TASIKMALAYA
Apotek Bulu Tempe|BONE
Apotek Johar Medika Balung|JEMBER
Apotek Lematang|LAMPUNG SELATAN
Apotek Mirza Farma|SIDOARJO
Apotek Jingga|BENGKALIS
Apotek Kramat Jaya|JAKARTA UTARA
Apotek Jari Sehat|LOMBOK TENGAH
Apotek Alycia|SIDOARJO
Apotek Wafirah|SIDOARJO
Apotek Persada Sari|JAKARTA BARAT
Apotek Century Apartemen Puri Park View (Ar)|JAKARTA BARAT
Apotek Fawwaz Farma|GARUT
Apotek Sambung Sehat|MALANG
Apotek Luragung Farma|KUNINGAN
Apotek H. Bahar|LAMPUNG UTARA
Apotek Papua Sehat|BIAK NUMFOR
Apotek Dunia Bintang|BANDUNG
Apotek Century Health Care Pim|PALEMBANG
Apotek Bintang Megah Farma|JAKARTA BARAT
Apotek Asri Assehat|BLITAR
Apotek Alma Gian|MEDAN
Apotek M   Farma|SURABAYA
Apotek Debora|HUMBANG HASUNDUTAN
Apotek Suko Waluyo|SUKOHARJO
Apotek K E P U|JAKARTA PUSAT
Apotek AK 5|MAKASSAR
Apotek Estu|NGAWI
Apotek Kebomas|GRESIK
Apotek Robi Farma|OGAN ILIR
Apotek Puriagi|KEDIRI
Apotek Madu Farma|GRESIK
Apotek Keluarga Asmaul Husna|PIDIE JAYA
Apotek Chrysolite Frma|GORONTALO UTARA
Apotek Top|BANDUNG
Apotek Kimia Farma 46|JAKARTA UTARA
Apotek Prayitno|BANDAR LAMPUNG
Apotek Kf Jatiwaringin|JAKARTA TIMUR
Apotek Seger Barokah|KUDUS
Apotek Rezki Meurasi|ACEH BESAR
Apotek Zainuri|SURABAYA
Apotek Tingkir|SALATIGA
Apotek Khasanah|TULANGBAWANG
Apotek Mitha Farma|MEDAN
Apotek La Derma|JEPARA
Apotek Kimia Farma No. 4|JAKARTA TIMUR
Apotek Camar|JEMBER
Apotek Krakatau Medika|SERANG
Apotek Lumbung Obat HOS Cokroaminoto|YOGYAKARTA
Apotek Aryani 2|JAMBI
Apotek Glory|TAPANULI UTARA
Apotek Sumber Waras Putera|BLITAR
Apotek Ar'Rayyan|GORONTALO UTARA
Apotek Kimia Farma Godean|SLEMAN
Apotek Generik Ceger|JAKARTA TIMUR
Apotek Wellnes Pharmacy|JAKARTA BARAT
Apotek Nusawangi 2|CIANJUR
Apotek Mulia Medika Mandiri|TANAH LAUT
Apotek Binamarta|OGAN KOMERING ULU TIMUR
Apotek Unpad Kimia Farma|BANDUNG
Apotek Vinda|SUKOHARJO
Apotek Liya Farma|BANDUNG
Apotek T.H|DEPOK
Apotek Kf (Gajah Mada)|MATARAM
Apotek Roxy Klender|JAKARTA TIMUR
Apotek Nicholas|INDRAMAYU
Apotek Simpati Farma|SUBANG
Apotek Viva Generik Karang Kepoh|BOYOLALI
Apotek Aoptek Ifrs El Syifa|KUNINGAN
Apotek Kimia Farma 38|MAKASSAR
Apotek Kimia Farma Tuminting|MANADO
Apotek Asvina|KARAWANG
Apotek Bunda Kita|BANDUNG
Apotek Monas Farma 2|LUWU TIMUR
Apotek Merci Farma|KENDARI
Apotek Sumber Husada|TULUNGAGUNG
Apotek Maliwuko Farma|POSO
Apotek Bagus Farma|LAMONGAN
Apotek Dutamed|BADUNG
Apotek Pro Tha Dua Farma|GRESIK
Apotek Turi Sehat|SLEMAN
Apotek Oblique farma|BALIKPAPAN
Apotek Tugurante|BLITAR
Apotek Viva Generik Simongan|SEMARANG
Apotek Sabila Farma 2|BANDUNG
Apotek S E J A T I|SURABAYA
Apotek Kampung Manggis|JAMBI
Apotek Bunda 2|BANGKA
Apotek Viva Generik Krukah|SURABAYA
Apotek D.J|DELI SERDANG
Apotek Lia 2|BANTUL
Apotek Syifanti|PALEMBANG
Apotek Ifrs|KAPUAS
Apotek Graha Indomec|BALIKPAPAN
Apotek Ani Media|PANGKALPINANG
Apotek Poncokusumo Sehat|MALANG
Apotek RS Dian Harapan|JAYAPURA
Apotek Faj'Wa|POLEWALI MANDAR
Apotek Binagriya|PEKALONGAN
Apotek Hanoman|TEGAL
Apotek Dharma Wangsa|JAKARTA SELATAN
Apotek U T O M O|SURABAYA
Apotek Pandega|SLEMAN
Apotek Nurjannah|SIDOARJO
Apotek Barokah Ii|BANDUNG
Apotek Sriti|JAKARTA TIMUR
Apotek Amanna|OGAN KOMERING ULU
Apotek Watuliandu Farma|MAKASSAR
Apotek An Najah Farma|CIANJUR
Apotek Nuhato|BANDUNG
Apotek Aldan Farma|BELITUNG
Apotek Korpri|BALIKPAPAN
Apotek Pro Pharma|BEKASI
Apotek Tukum Indah|LUMAJANG
Apotek K 24 Ampera Raya|JAKARTA SELATAN
Apotek Life Guard|JAKARTA TIMUR
Apotek K 24 Sarimanah|BANDUNG
Apotek Sonny|GROBOGAN
Apotek Kimia Farma Pelengkap No 26|AMBON
Apotek Century Bsm|BANDUNG
Apotek Dadap Putih|TANGERANG
Apotek Amanah Pharma Harapan Mulya|BEKASI
Apotek Halawa|SUBANG
Apotek Re Rama|DENPASAR
Apotek Hasil|JAMBI
Apotek Pringgos|LOMBOK TIMUR
Apotek Medika Center|JAKARTA BARAT
Apotek Qorina|BENGKULU
Apotek Salimah|OGAN KOMERING ILIR
Apotek Siaga|BANDAR LAMPUNG
Apotek Cahaya Gading|TANGERANG
Apotek Dinoyo Farma|MALANG
Apotek Century Sumber Rejo|BALIKPAPAN
Apotek Miracle Farma|MERAUKE
Apotek Fatim|MAKASSAR
Apotek Mappala Farma|MAKASSAR
Apotek Indo medika Farmasi|BALIKPAPAN
Apotek Asia Jaya|BANYUWANGI
Apotek Tirta Husada|DEPOK
Apotek Viva Generik Bergas|SEMARANG
Apotek Trisari Husada|BOYOLALI
Apotek K 24 Tanjung Duren|JAKARTA BARAT
Apotek Bagas Waras|SEMARANG
Apotek Erha 21 Taman Palem Lestari|JAKARTA BARAT
Apotek Abigail|BANGGAI
Apotek Wijaya Tirta|MATARAM
Apotek Comby Jaya Farma|ASAHAN
Apotek Nuri Farma|SEMARANG
Apotek Generik Sumatera Kampung Jombang|TANGERANG SELATAN
Apotek K 24 Cipinang Jaya|JAKARTA TIMUR
Apotek Nusantara Jaya|DAIRI
Apotek Century Yogya City Mall|SLEMAN
Apotek Tamarisa|BANDUNG
Apotek Kemranjen|BANYUMAS
Apotek K 24 Pramuka Raya|BEKASI
Apotek W I J A Y A|SURABAYA
Apotek Kimia Farma 223|BATAM
Apotek Welas Asih H. Usa|SUBANG
Apotek Al Shifa|BLORA
Apotek Sari Husada Unit Mranggen|DEMAK
Apotek Alisha Pharma|BANDUNG
Apotek Dharmahusada|SURABAYA
Apotek Panda|JAKARTA UTARA
Apotek Mekar|PADANG
Apotek Merdeka|MEDAN
Apotek 555|TANGERANG
Apotek Paramedina Tembalang|SEMARANG
Apotek Sembuh|BEKASI
Apotek Yasa|BOGOR
Apotek Kis Farma 2|PATI
Apotek Jaya Rahayu|DENPASAR
Apotek Dewi Riyadi|SAMARINDA
Apotek Generik Panti Asuhan|TANGERANG SELATAN
Apotek Klampok|BANJARNEGARA
Apotek Mitra Gustiana|SAMARINDA
Apotek Sumber waras|MERANGIN
Apotek Century Sultan Adam|BANJARMASIN
Apotek Karina|BINJAI
Apotek Guardian BSB|BALIKPAPAN
Apotek S. Parman|GROBOGAN
Apotek Kimia Farma|PIDIE
Apotek Elza|PEKANBARU
Apotek Lokasari|JAKARTA BARAT
Apotek Century Spbu Cempaka Putih|JAKARTA UTARA
Apotek Tursina Bahagia|SEMARANG
Apotek Hercules|MADIUN
Apotek Generik 41 Kampung Petir|TANGERANG
Apotek Sahabat Farma|LANGKAT
Apotek Gajahan|SURAKARTA
Apotek Husada Timor|KUPANG
Apotek K 24 Sampangan|SEMARANG
Apotek Al   Mochtadi|LAMONGAN
Apotek Medi Fortuna|BANDUNG
Apotek Century Central Park|JAKARTA BARAT
Apotek Guardian Giant Spm Graha Bintaro|TANGERANG SELATAN
Apotek Tanuwijaya|TASIKMALAYA
Apotek Promedica|JAKARTA BARAT
Apotek Zidni Ilman Farma|SUKOHARJO
Apotek Deasy 2|DELI SERDANG
Apotek Anugerah Djaja|BANDUNG
Apotek Ar. Sembilan A|JAKARTA BARAT
Apotek Anugrah Nanda|JAKARTA TIMUR
Apotek Bethel|BOJONEGORO
Apotek Akmal 2|CIANJUR
Apotek Kompas|BENGKULU
Apotek Sumatera Jaya|MEDAN
Apotek Sevilla|JAMBI
Apotek Nh Beji|BANYUMAS
Apotek Fadli Farma Ampah|BARITO TIMUR
Apotek Denta Medika|BERAU
Apotek Erha 21 Pacific Place|JAKARTA SELATAN
Apotek Sumber Aden|KATINGAN
Apotek Pahala|MEDAN
Apotek Century D'Best Fatmawati|JAKARTA SELATAN
Apotek Mardani Merdeka|JAKARTA PUSAT
Apotek Az Zaidan|JOMBANG
Apotek Century Sky Terrace|JAKARTA BARAT
Apotek Century Pharma Pondasi Baru|JAKARTA TIMUR
Apotek Generik Kayu Ambon|BANDUNG BARAT
Apotek Century Wisma Gading Permai|JAKARTA UTARA
Apotek Sinar Teratai|PALEMBANG
Apotek Dhiyah Farma|JAYAPURA
Apotek Gedaren|KLATEN
Apotek Anduonohu|KENDARI
Apotek Maranata|SIGI
Apotek Aisy|PEKANBARU
Apotek Kimia Farma Teling|MANADO
Apotek Guardian Grage|CIREBON
Apotek Pandanwangi|BANDUNG
Apotek Medistar|JAKARTA PUSAT
Apotek Rati Farma|SIAK
Apotek Nusindo Farma|PURWAKARTA
Apotek Puja Sera|JAKARTA BARAT
Apotek Kembang Sari|SEMARANG
Apotek Mura|KAPUAS HULU
Apotek Trenico|JAKARTA BARAT
Apotek Sehat Rezeki|DELI SERDANG
Apotek Gangga|PANGKALPINANG
Apotek Isna Medika|CILEGON
Apotek Era Sehat|JAKARTA TIMUR
Apotek Vidi Medika Farma|DEPOK
Apotek Fajar Cempaka|MEDAN
Apotek Aries Farma (Apt.Profesi)|JAKARTA TIMUR
Apotek Kimia Farma 259|SEMARANG
Apotek Hj. Bainah|SAMARINDA
Apotek Easco Medical|JAKARTA SELATAN
Apotek Nauly|SAMARINDA
Apotek Bruno|PURWOREJO
Apotek Fatim Farma|TANGERANG
Apotek Astu Putro|KLATEN
Apotek Century Pharma Karang Indah|JAKARTA UTARA
Apotek Generik Ulujami Raya|JAKARTA SELATAN
Apotek Toha|BANDUNG
Apotek Maju Jaya (Ar)|JAKARTA BARAT
Apotek Beauderma|BANDUNG
Apotek Inhoftank|BANDUNG
Apotek Karunia Medika Center|BEKASI
Apotek Syari'Ah Pratiwi (Peusangan)|BIREUEN
Apotek Blauran Farma|SURABAYA
Apotek Riau|PEKANBARU
Apotek Al Baroekah|LANGSA
Apotek Mugi (Ar)|JAKARTA BARAT
Apotek Elizabeth|JAKARTA UTARA
Apotek Muncar Farma|BANYUWANGI
Apotek Plus Itc Cibinong|BOGOR
Apotek Karissa Mulya|KAMPAR
Apotek Medika Utama|TASIKMALAYA
Apotek Soekarno Hatta|MALANG
Apotek Shonar 4444|SITUBONDO
Apotek Anugra Farma|MALUKU TENGGARA BARAT
Apotek Bip Farma|BATAM
Apotek Balongan 86|INDRAMAYU
Apotek Al   Anwar|GRESIK
Apotek Pajang Farma|SURAKARTA
Apotek Generik Melur Panam|PEKANBARU
Apotek Aqsya|SINTANG
Apotek K 24 Padalarang|BANDUNG BARAT
Apotek Generik 11 Bugel Raya|TANGERANG
Apotek As' Syifa Medica Farma|MALUKU TENGAH
Apotek Qita|BANDUNG
Apotek Viva Generik Gunung Pati|SEMARANG
Apotek Salman Farma|BANDUNG BARAT
Apotek Juria|MEDAN
Apotek Munira Farma|GORONTALO
Apotek Marga Bhakti Husada 2|BEKASI
Apotek Ramadhani Wlingi|BLITAR
Apotek Sidanta|DENPASAR
Apotek Namira Farma|JAKARTA SELATAN
Apotek K 24 Cibubur|DEPOK
Apotek An Nabil|MAJALENGKA
Apotek Pawarta|SIDOARJO
Apotek Mirantri Farma|LUMAJANG
Apotek Kaliangkrik|MAGELANG
Apotek Rahmah|SIAK
Apotek Ramzi|BIMA
Apotek K 24 Ternate Raya|BEKASI
Apotek Sembu|BEKASI
Apotek Rahayu Sehat|WONOGIRI
Apotek Jatinagor Lestari|SUMEDANG
Apotek Ardun Syifaa|MAJALENGKA
Apotek Mandau Sejahtera|BENGKALIS
Apotek Permata Jati|GARUT
Apotek Alin|BANDUNG
Apotek K 24 Cemara Asri|DELI SERDANG
Apotek Usadha Medis|BADUNG
Apotek Kusuma Farma|JAKARTA SELATAN
Apotek Malang Eye Centre|MALANG
Apotek Lison|JAKARTA UTARA
Apotek Dunia Medika|JAKARTA BARAT
Apotek Fadilla Farma|MUNA
Apotek Serasih|MANDAILING NATAL
Apotek Jelita|JAKARTA BARAT
Apotek Harisma Dewi|PURWAKARTA
Apotek Jayanti|BANYUMAS
Apotek Ilmiah Medica|KENDARI
Apotek Arifah Farma|JAKARTA TIMUR
Apotek Mitra Sehat Keluarga|BOGOR
Apotek Pendawa Jaya|MAGELANG
Apotek Sugih Waras|JEPARA
Apotek New Sentosa|JAKARTA BARAT
Apotek Fa   Mitra|LAMONGAN
Apotek Mojo Sehat|KEDIRI
Apotek Cahaya Murni|TOLI TOLI
Apotek Laris|ACEH TIMUR
Apotek Korea|ACEH BARAT DAYA
Apotek K 24 Wisma Kentjana Kalisari|JAKARTA TIMUR
Apotek Wadaslintang|WONOSOBO
Apotek Izmy Farma|TIDORE KEPULAUAN
Apotek Nilan Farma|BUTON
Apotek Johar Medika|JEMBER
Apotek Diana Farma|LANGKAT
Apotek M I N A|SURABAYA
Apotek K   24 Merr Kalijudan|SURABAYA
Apotek Izzan Pharma|PEKANBARU
Apotek Jodo 3|PESAWARAN
Apotek  Family Farma|BENGKALIS
Apotek Cheri Farma|JAYAPURA
Apotek Yulia|BOGOR
Apotek Barokah Farma|TASIKMALAYA
Apotek Generik Padurenan|BEKASI
Apotek Century Duta Merlin|JAKARTA PUSAT
Apotek Melati Pharma|SIDOARJO
Apotek Alfa Farma|BANDUNG
Apotek Baki|SUKOHARJO
Apotek K 24 Karang Rejo|BALIKPAPAN
Apotek Nurkholis Farma|BANDUNG
Apotek Habibi|PEKALONGAN
Apotek Way Urang|LAMPUNG SELATAN
Apotek Azka Husada|SEMARANG
Apotek Qbi Farma|LOMBOK TENGAH
Apotek Lamvita Farma|BATU BARA
Apotek Sahat|ACEH TENGGARA
Apotek Kencana Mas Farma|SIDOARJO
Apotek Rizka Farma|CIREBON
Apotek Indah|BANDA ACEH
Apotek Rister Life|KUPANG
